Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Poedagar 613,poedagar-613,"<p><strong>Poedagar 613 — Bold Sports Chronograph for the Modern Man</strong></p><p>The Poedagar 613 commands attention the moment it hits your wrist. This bold sports chronograph features a large 44mm stainless steel case with luminous hands, multi-subdial design, and a striking dial available in Blue, White, Black, and Green. Scratch-resistant sapphire glass, waterproof stainless steel construction, and Japanese quartz movement make the Poedagar 613 a stunning statement piece built to last. Premium stainless steel mesh or link bracelet included.</p><ul><li>Movement: Japanese quartz chronograph</li><li>Crystal: Sapphire glass, scratch-resistant</li><li>Water Resistance: 30m (3 bar)</li><li>Case Diameter: 44mm, stainless steel</li><li>Luminous hands and markers</li><li>Stainless steel bracelet</li><li>Available in Blue, White, Black, Green</li></ul><p><em>Make your mark. Wear Poedagar 613.</em></p>",Poedagar,Jewelry & Watches > Watches,Watch,"Poedagar, Watch, Timepiece",TRUE,Active,,,Color,Blue,,,,,,,,49.9,79,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_613_main.jpg,1,Poedagar 613,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_613_main.jpg,FALSE,,,,,,,,,,,,,,,,
,poedagar-613,,,,,,,,,,,White,,,,,,,,49.9,79,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_613_white.jpg,FALSE,,,,,,,,,,,,,,,,
,poedagar-613,,,,,,,,,,,Black,,,,,,,,49.9,79,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_613_black.jpg,FALSE,,,,,,,,,,,,,,,,
,poedagar-613,,,,,,,,,,,Green,,,,,,,,49.9,79,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_613_green.jpg,FALSE,,,,,,,,,,,,,,,,
Poedagar Horizont 810,poedagar-horizont-810,"<p><strong>Poedagar Horizont 810 — Architectural Elegance Meets Sport Precision</strong></p><p>The Poedagar Horizont 810 brings bold architectural design to the world of sports watches. Its distinctive geometric case shape and sunray-brushed dial create a strong visual presence on the wrist. Scratch-resistant sapphire glass protects the dial, while the waterproof stainless steel construction handles everyday demands with ease. Powered by precise Japanese quartz movement and finished with a premium stainless steel bracelet — whether at the office or the weekend, the Horizont 810 commands respect.</p><ul><li>Movement: Japanese quartz</li><li>Crystal: Sapphire glass, scratch-resistant</li><li>Water Resistance: 30m (3 bar)</li><li>Case: Geometric stainless steel</li><li>Sunray-brushed dial</li><li>Premium stainless steel bracelet</li></ul><p><em>Where architecture meets precision.</em></p>",Poedagar,Jewelry & Watches > Watches,Watch,"Poedagar, Watch, Timepiece",TRUE,Active,,,,,,,,,,,,59.9,89,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_horizont_main.jpg,1,Poedagar Horizont 810,,FALSE,,,,,,,,,,,,,,,,
,poedagar-horizont-810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_horizont_secondary.jpg,2,poedagar-horizont-810 secondary,,,,,,,,,,,,,,,,,,
Poedagar 930,poedagar-930,"<p><strong>Poedagar 930 — Multi-Function Sports Watch for the Active Lifestyle</strong></p><p>The Poedagar 930 is engineered for the man who never slows down. Available in Green, Black, and Blue, this rugged sports timepiece features a bold 44mm stainless steel case with luminous markers, day-date complications, and chronograph functions. Built waterproof with sapphire crystal and driven by reliable Japanese quartz movement, the 930 is the ideal companion for sport, travel, and adventure. Premium stainless steel bracelet with butterfly deployment clasp.</p><ul><li>Movement: Japanese quartz multi-function</li><li>Crystal: Sapphire glass</li><li>Water Resistance: 30m (3 bar)</li><li>Case Diameter: 44mm, stainless steel</li><li>Luminous hands and markers</li><li>Day-date display</li><li>Available in Green, Black, Blue</li></ul><p><em>Adventure-ready. Always.</em></p>",Poedagar,Jewelry & Watches > Watches,Watch,"Poedagar, Watch, Timepiece",TRUE,Active,,,Color,Green,,,,,,,,49.9,79,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_930_main.jpg,1,Poedagar 930,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_930_green.jpg,FALSE,,,,,,,,,,,,,,,,
,poedagar-930,,,,,,,,,,,Black,,,,,,,,49.9,79,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_930_black.jpg,FALSE,,,,,,,,,,,,,,,,
,poedagar-930,,,,,,,,,,,Blue,,,,,,,,49.9,79,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_930_blue.jpg,FALSE,,,,,,,,,,,,,,,,
Poedagar 896,poedagar-896,"<p><strong>Poedagar 896 — Minimalist Masculinity, Maximum Impact</strong></p><p>The Poedagar 896 is where minimalism meets masculine elegance. Featuring a clean, refined dial with slim hour markers and sleek geometric case design, the 896 answers the call for understated sophistication. Powered by Japanese quartz movement, water-resistant to 30 meters, with anti-scratch sapphire crystal and premium stainless steel finishing throughout. A versatile timepiece that transitions effortlessly from boardroom meetings to weekend escapes.</p><ul><li>Movement: Japanese quartz</li><li>Crystal: Sapphire glass, scratch-resistant</li><li>Water Resistance: 30m (3 bar)</li><li>Case: Stainless steel</li><li>Clean minimalist dial design</li><li>Premium stainless steel bracelet</li></ul><p><em>Less is more. The Poedagar 896.</em></p>",Poedagar,Jewelry & Watches > Watches,Watch,"Poedagar, Watch, Timepiece",TRUE,Active,,,,,,,,,,,,54.9,84,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_896_main.jpg,1,Poedagar 896,,FALSE,,,,,,,,,,,,,,,,
,poedagar-896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_896_secondary.jpg,2,poedagar-896 secondary,,,,,,,,,,,,,,,,,,
Poedagar Silver Star,poedagar-silver-star,"<p><strong>Poedagar Silver Star — Polish, Power, and Precision</strong></p><p>The Poedagar Silver Star shines with polished precision. Available in White, Black, and Blue, this elegant timepiece features a striking silver-tone stainless steel case with diamond-cut bezel accents and a luminous dial that stands out in any light. Japanese quartz movement ensures reliable accuracy, while waterproof construction and sapphire crystal protect against daily wear. The Silver Star is for those who demand both style and substance from their everyday watch.</p><ul><li>Movement: Japanese quartz</li><li>Crystal: Sapphire glass</li><li>Water Resistance: 30m (3 bar)</li><li>Case: Polished stainless steel with diamond-cut bezel</li><li>Luminous dial</li><li>Available in White, Black, Blue</li></ul><p><em>Shine on. The Poedagar Silver Star.</em></p>",Poedagar,Jewelry & Watches > Watches,Watch,"Poedagar, Watch, Timepiece",TRUE,Active,,,Color,White,,,,,,,,54.9,84,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_silver_star_main.jpg,1,Poedagar Silver Star,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_silver_star_main.jpg,FALSE,,,,,,,,,,,,,,,,
,poedagar-silver-star,,,,,,,,,,,Black,,,,,,,,54.9,84,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_silver_star_black.jpg,FALSE,,,,,,,,,,,,,,,,
,poedagar-silver-star,,,,,,,,,,,Blue,,,,,,,,54.9,84,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_silver_star_blue.jpg,FALSE,,,,,,,,,,,,,,,,
,poedagar-silver-star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/poedagar_silver_star_secondary.jpg,2,poedagar-silver-star secondary,,,,,,,,,,,,,,,,,,
Curren 8488,curren-8488,"<p><strong>Curren 8488 — Bold Chronograph Style That Turns Heads</strong></p><p>The Curren 8488 makes an immediate impression with its bold, fashion-forward design. Available in Black Gold, White Gold, and All Black, this 44mm chronograph-style timepiece features eye-catching multi-subdial aesthetics, tachymeter scale, luminous hands, and a premium stainless steel bracelet. Powered by reliable Japanese quartz movement, the 8488 delivers maximum visual impact at an unbeatable price. Perfect for those who want to make a statement without compromise.</p><ul><li>Movement: Japanese quartz</li><li>Crystal: Mineral glass</li><li>Water Resistance: 30m (3 bar)</li><li>Case Diameter: 44mm</li><li>Tachymeter scale, luminous hands</li><li>Stainless steel bracelet</li><li>Available in Black Gold, White Gold, All Black</li></ul><p><em>Be bold. Wear the 8488.</em></p>",Curren,Jewelry & Watches > Watches,Watch,"Curren, Watch, Timepiece",TRUE,Active,,,Color,Black Gold,,,,,,,,39.9,59,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_8488_black_gold.jpg,1,Curren 8488,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_8488_black_gold.jpg,FALSE,,,,,,,,,,,,,,,,
,curren-8488,,,,,,,,,,,White Gold,,,,,,,,39.9,59,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_8488_white_gold.jpg,FALSE,,,,,,,,,,,,,,,,
,curren-8488,,,,,,,,,,,All Black,,,,,,,,39.9,59,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_8488_all_black.jpg,FALSE,,,,,,,,,,,,,,,,
,curren-8488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_8488_secondary.jpg,2,curren-8488 secondary,,,,,,,,,,,,,,,,,,
Curren 8439,curren-8439,"<p><strong>Curren 8439 — Effortless Style for Every Occasion</strong></p><p>The Curren 8439 redefines accessible elegance with its slim profile and refined analog design. Available in Black, Blue, and White, this dress-sport hybrid features a polished stainless steel case and bracelet with subtle brushed accents and a clean, legible dial. Accurate Japanese quartz movement, water-resistant construction, and premium finishing make the 8439 the watch you reach for when you need to look sharp — from casual Fridays to formal events.</p><ul><li>Movement: Japanese quartz</li><li>Crystal: Mineral glass</li><li>Water Resistance: 30m (3 bar)</li><li>Stainless steel case and bracelet</li><li>Clean, legible analog dial</li><li>Available in Black, Blue, White</li></ul><p><em>From office to evening. The Curren 8439.</em></p>",Curren,Jewelry & Watches > Watches,Watch,"Curren, Watch, Timepiece",TRUE,Active,,,Color,Black,,,,,,,,39.9,59,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_8439_black.jpg,1,Curren 8439,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_8439_black.jpg,FALSE,,,,,,,,,,,,,,,,
,curren-8439,,,,,,,,,,,Blue,,,,,,,,39.9,59,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_8439_blue.jpg,FALSE,,,,,,,,,,,,,,,,
,curren-8439,,,,,,,,,,,White,,,,,,,,39.9,59,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_8439_white.jpg,FALSE,,,,,,,,,,,,,,,,
,curren-8439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_8439_secondary.jpg,2,curren-8439 secondary,,,,,,,,,,,,,,,,,,
Curren Arcturus,curren-arcturus,"<p><strong>Curren Arcturus — Inspired by the Brightest Star in the Northern Sky</strong></p><p>The Curren Arcturus — named after one of the brightest stars in the night sky — is a luminous celebration of design and contrast. Available in Silver Blue and Black Yellow, this distinctive chronograph-style watch features bold color blocking, luminous markers, and a striking multi-layered dial. Stainless steel case and bracelet with Japanese quartz movement make the Arcturus as reliable as it is eye-catching — a timepiece that stands apart in any crowd.</p><ul><li>Movement: Japanese quartz</li><li>Crystal: Mineral glass</li><li>Water Resistance: 30m (3 bar)</li><li>Bold color contrast design</li><li>Luminous markers and hands</li><li>Stainless steel case and bracelet</li><li>Available in Silver Blue, Black Yellow</li></ul><p><em>As bright as a star. The Curren Arcturus.</em></p>",Curren,Jewelry & Watches > Watches,Watch,"Curren, Watch, Timepiece",TRUE,Active,,,Color,Silver Blue,,,,,,,,44.9,64,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_arcturus_main.jpg,1,Curren Arcturus,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_arcturus_main.jpg,FALSE,,,,,,,,,,,,,,,,
,curren-arcturus,,,,,,,,,,,Black Yellow,,,,,,,,44.9,64,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_arcturus_black_yellow.jpg,FALSE,,,,,,,,,,,,,,,,
,curren-arcturus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_arcturus_secondary.jpg,2,curren-arcturus secondary,,,,,,,,,,,,,,,,,,
Curren 8446,curren-8446,"<p><strong>Curren 8446 — Contemporary Design, Timeless Appeal</strong></p><p>The Curren 8446 strikes the perfect balance between contemporary style and classic reliability. Available in Black and Silver, this sport-elegance hybrid features a clean dial with day-date window, polished stainless steel case, and a matching bracelet with butterfly deployment clasp. Powered by Japanese quartz movement and built with water resistance for daily use, the 8446 is the versatile everyday timepiece for the modern man who wants style and function in one watch.</p><ul><li>Movement: Japanese quartz</li><li>Crystal: Mineral glass</li><li>Water Resistance: 30m (3 bar)</li><li>Day-date display</li><li>Butterfly deployment clasp</li><li>Stainless steel case and bracelet</li><li>Available in Black, Silver</li></ul><p><em>Style that works as hard as you do.</em></p>",Curren,Jewelry & Watches > Watches,Watch,"Curren, Watch, Timepiece",TRUE,Active,,,Color,Black,,,,,,,,39.9,59,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_8446_black.jpg,1,Curren 8446,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_8446_black.jpg,FALSE,,,,,,,,,,,,,,,,
,curren-8446,,,,,,,,,,,Silver,,,,,,,,39.9,59,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_8446_silver.jpg,FALSE,,,,,,,,,,,,,,,,
Curren Dominus,curren-dominus,"<p><strong>Curren Dominus — The Watch That Commands the Room</strong></p><p>The Curren Dominus lives up to its name — this is a commanding, authoritative timepiece that leads, not follows. Available in Silver and Black, the Dominus features a large-format case with bold dial design, multiple time functions, luminous applied markers, and a premium stainless steel case and bracelet. Japanese quartz movement and water-resistant construction complete a package designed for those who demand presence and performance from their wrist.</p><ul><li>Movement: Japanese quartz</li><li>Crystal: Mineral glass</li><li>Water Resistance: 30m (3 bar)</li><li>Large format dial with bold design</li><li>Luminous applied markers</li><li>Premium stainless steel case and bracelet</li><li>Available in Silver, Black</li></ul><p><em>Lead. Don't follow. Wear the Dominus.</em></p>",Curren,Jewelry & Watches > Watches,Watch,"Curren, Watch, Timepiece",TRUE,Active,,,Color,Silver,,,,,,,,44.9,64,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_dominus_main.jpg,1,Curren Dominus,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_dominus_silver.jpg,FALSE,,,,,,,,,,,,,,,,
,curren-dominus,,,,,,,,,,,Black,,,,,,,,44.9,64,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/curren_dominus_black.jpg,FALSE,,,,,,,,,,,,,,,,
